"number","short_description","description","urgency","impact","category","assignment_group","resolution"
"INC00269","Merchant unable to e-sign agreement","An issue was detected where the fee configuration tool within the Sales UI was malfunctioning, leading to incorrect fee structures being applied to merchant accounts, impacting financial agreements.",2,2,"Software","IT Support","Reset the merchant's login credentials and provided temporary access to review and e-sign the agreement. Investigated the root cause for further prevention."
"INC00171","Unable to add new location due to POS terminal malfunction","During equipment selection for a new merchant, Sales Agents are experiencing an issue where the dropdown menu for selecting equipment models is not loading, causing delays in onboarding.",1,1,"Access","IT Support","Collaborated with the hardware vendor to troubleshoot the integration problem, resulting in successful configuration of the payment terminal for seamless merchant transactions."
"INC00496","Unable to select specific POS terminal model","During the data upload process for a new merchant, the API endpoint consistently returns a 500 error, preventing sales agents from successfully onboarding the merchant.",2,1,"Hardware","IT Support","Collaborated with the hardware vendor to troubleshoot the integration problem, resulting in successful configuration of the payment terminal for seamless merchant transactions."
"INC00480","Unable to link new location to existing merchant ID","Merchants report that the content of the Merchant Agreement PDF appears distorted and unreadable when accessed for review and e-signature.",2,1,"Software","IT Support","Performed a system cache refresh to reload the merchant data and ensured proper data mapping to display information accurately in the Sales UI."
"INC00132","Unable to select equipment for merchant","During the onboarding process for an additional location, the Sales Agent received an error message stating 'Location already exists' even though it's a new location being added. This issue caused confusion and delays in completing the merchant setup.",2,3,"Software","Network Ops","Implemented additional data backup mechanisms in the review stage to prevent further data loss incidents, ensuring a smoother onboarding experience for merchants."
"INC00075","Sales Agent unable to access merchant equipment options","While configuring equipment for a new merchant, Sales Agent experienced network timeouts leading to delays in selecting the required hardware, affecting the efficiency of onboarding processes.",2,1,"Network","IT Support","Reset the Sales Agent's access credentials for the onboarding portal associated with the affected merchant ID, allowing them to regain access and continue with the onboarding process without further interruptions."
"INC00151","Critical Service Fee Configuration Failure","Sales Agent encountered a system error indicating a duplicate Merchant ID while setting up a new location, leading to confusion and inability to proceed with onboarding.",2,2,"Software","IT Support","Reset the Sales Agent's access credentials for the onboarding portal associated with the affected merchant ID, allowing them to regain access and continue with the onboarding process without further interruptions."
"INC00118","Payment terminal integration failure during merchant setup","While submitting location data for a merchant ID, a sudden network outage occurred, interrupting the data transmission process. This outage impacted the Sales Agent's ability to finalize the onboarding for the merchant, causing delays and data loss.",2,1,"Hardware","IT Support","Conducted a thorough review of the fee calculation algorithm, identified a logic flaw, and applied a fix to ensure accurate processing fee calculation for the merchant."
"INC00333","Intermittent connection issues while configuring services","Sales Agent reported that when configuring bundled services for a merchant, the system was incorrectly calculating the total fees, leading to discrepancies in the final pricing.",1,2,"Network","IT Support","Identified and rectified the network connectivity issue by troubleshooting the router configuration, ensuring stable and uninterrupted access for the Merchant to review and e-sign the agreement."
"INC00109","PDF agreement not loading for Merchant","Sales Agent encountered a system error indicating a duplicate Merchant ID while setting up a new location, leading to confusion and inability to proceed with onboarding.",2,1,"Hardware","IT Support","Adjusted Sales Agent's access rights to correctly configure service fees for merchants. Resumed the onboarding process for the affected merchant."
"INC00175","Incorrect fees applied for services","A critical failure in configuring service fees by a Sales Agent has caused all merchant accounts to reflect incorrect service charges. Financial discrepancies detected.",1,3,"Access","IT Support","Implemented a software patch to fix the calculation algorithm, ensuring accurate fee configurations for all new and existing merchant accounts in the system."
"INC00353","Touchscreen malfunction on Merchant's device for e-signing","A Sales Agent reported being unable to access the fee configuration module in the application, hindering their ability to customize services for a new merchant.",2,1,"Hardware","IT Support","Performed troubleshooting on the scanner, identified a hardware fault, and replaced the malfunctioning component. Subsequently, the Sales Agent was able to scan and upload the required documents without further impediments."
"INC00168","Access permission error for Merchant Agreement PDF upload","Merchants are unable to view the PDF Merchant Agreement after logging in to the Customer UI.",2,1,"Software","IT Support","Reviewed and adjusted file permission settings for the Merchant Agreement PDF, granting appropriate access to merchants for e-signing. Ensured merchants could view and sign the agreement without further issues."
"INC00448","Equipment Selection Error for High-Volume Merchant","Merchant unable to locate the e-signature field within the Merchant Agreement PDF for completing the onboarding process.",1,3,"Access","IT Support","Access permissions for the Sales Agent role were reviewed and corrected to ensure proper access to the fee configuration page, enabling seamless configuration of fees for merchant accounts."
"INC00032","Error accessing merchant agreement PDF","Sales Agent encountered an issue where a specific POS terminal model, 'ABC-2000', could not be selected while configuring equipment for a merchant.",3,2,"Software","IT Support","Resolved by clearing the browser cache and reloading the Customer UI. PDF now loads successfully."
"INC00111","Intermittent connection issues while configuring services","Sales Agent encountered an issue where merchant data input was not saving correctly in the Sales UI, leading to incomplete merchant profiles and delays in onboarding.",1,1,"Software","Network Ops","The issue was identified as a compatibility issue with the specific POS model and was resolved by updating the system to support the new equipment."
"INC00139","Error saving merchant data in Sales UI","When trying to select equipment for a newly added location, the dropdown menu is not populating with the available options, hindering the configuration process.",2,3,"Network","IT Support","Identified a permission misconfiguration restricting the submission button and granted the necessary access rights to enable Sales Agents to proceed with e-signature submission."
"INC00112","Error message 'Invalid Signature' when attempting to e-sign Agreement","Sales Agent reports that configured fees and services for a new merchant are not saving upon submission, leading to incorrect pricing in the agreement.",2,3,"Software","Network Ops","A backend synchronization issue was identified and resolved by initiating a manual sync process. Sales Agent confirmed that the fees and services configurations were now accurately displayed."
"INC00027","Unable to add new location for merchant ID 12345","Sales Agents noticed that the service fees configured for a merchant were not displaying accurately on the summary page, potentially causing confusion during the final review with the merchant.",2,2,"Software","Network Ops","Replaced the malfunctioning hardware component on the Sales Agent's device, ensuring seamless continuation of the merchant data input process."
"INC00207","Critical Service Fee Configuration Failure","Merchants intermittently experienced data loss while reviewing the merchant agreement, leading to frustration and delays in the onboarding process.",2,3,"Network","IT Support","Resolved by clearing the browser cache and reloading the Customer UI. PDF now loads successfully."
"INC00055","Merchant data not transitioning to PROCESSING stage after e-signing","Sales Agent encountered an error when trying to add a new POS system for a high-volume merchant, leading to delays in onboarding process.",2,2,"Software","IT Support","Replaced the malfunctioning hardware component on the Sales Agent's device, ensuring seamless continuation of the merchant data input process."
"INC00287","Error saving merchant data in Sales UI","An issue arose where certain hardware configurations selected by Sales Agents were not compatible with the fee calculation module, resulting in incorrect fee estimations and potential financial discrepancies.",3,2,"Software","Network Ops","The issue was identified as a server-side bug causing the error. Developers fixed the bug and deployed a patch to resolve the 500 error."
"INC00324","Equipment selection dropdown missing options","Sales Agent encountered an issue where a specific POS terminal model, 'ABC-2000', could not be selected while configuring equipment for a merchant.",3,2,"Access","IT Support","Identified the network issue as a temporary outage due to a hardware failure. Network Ops team swiftly resolved the hardware problem, restored connectivity, and ensured the successful submission of location data for the merchant ID."
"INC00462","Login credentials not working for merchant","The Sales UI is not loading properly for a new Sales Agent attempting to onboard a merchant, causing delays in merchant data input.",2,1,"Hardware","IT Support","Adjusted Sales Agent's access rights to correctly configure service fees for merchants. Resumed the onboarding process for the affected merchant."
"INC00408","Hardware failure on Sales Agent's device","Merchants encountering access permissions error when trying to view the Merchant Agreement PDF for e-signing, causing delays in agreement completion.",2,1,"Software","IT Support","The database was checked for any existing duplicate merchant IDs. The system was updated to include a validation check to prevent the reoccurrence of duplicate IDs during onboarding."
"INC00014","Error accessing merchant agreement PDF","Sales Agent encountered an issue where merchant data input was not saving correctly in the Sales UI, leading to incomplete merchant profiles and delays in onboarding.",1,2,"Hardware","IT Support","Rectified the issue by performing a data refresh to fetch and display the accurate merchant information in the Sales UI."
"INC00190","Merchant ID duplication error during new location setup","Sales Agent noticed that any changes made to fees/services configurations for a merchant are not saving properly in the system.",2,2,"Software","IT Support","Adjusted session timeout settings to allow for a longer duration. Instructed merchants to refresh the page and re-sign the agreement successfully."
"INC00233","Hardware failure on Sales Agent's device","Intermittent latency spikes were observed, causing delays in API responses during merchant data input by Sales Agents. This variability in response times impacted the overall speed of onboarding operations.",3,2,"Access","IT Support","Implemented additional data backup mechanisms in the review stage to prevent further data loss incidents, ensuring a smoother onboarding experience for merchants."
"INC00455","Equipment selection dropdown missing options","Sales agents are encountering a hardware malfunction that is preventing them from selecting equipment for new merchants during the onboarding process. This issue is limiting the options available to merchants.",2,2,"Hardware","IT Support","Adjusted Sales Agent's access rights to correctly configure service fees for merchants. Resumed the onboarding process for the affected merchant."
"INC00082","Equipment Configuration Freeze on Legacy Browser","While trying to onboard an additional location for an existing merchant ID, the Sales Agent encountered a hardware issue with the POS terminal, preventing the configuration process. This affected the Sales Agent's ability to complete the onboarding for the merchant.",2,1,"Access","IT Support","Conducted network diagnostics, discovered a bottleneck in the network infrastructure. Implemented QoS settings to prioritize data submission traffic and alleviate timeouts."
"INC00143","Network connectivity issue preventing location addition","Sales Agent raised a concern that the merchant data being displayed in the Sales UI is showing incorrect information not matching the actual details provided.",1,2,"Hardware","IT Support","The problem was resolved by updating the fee calculation module to include checks for hardware compatibility. Sales Agents were then able to accurately calculate fees for merchants without encountering compatibility issues."
"INC00435","Sales Agent unable to access onboarding portal for merchant ID","The Merchant reported a touchscreen malfunction on their device, making it impossible for them to e-sign the agreement in the Customer UI, hindering the onboarding progress.",1,2,"Access","IT Support","Identified a database inconsistency causing the false error message. Resolved the issue by correcting the location mapping in the database, allowing the Sales Agent to proceed with adding the new location."
"INC00391","Unable to select equipment for merchant","Sales Agent encountered a system glitch where high-volume merchant's selected equipment did not get saved, causing delays in processing; Merchant affected.",2,3,"Access","Network Ops","Investigated and fixed the issue by updating the UI application, ensuring that upon login, the Merchant now correctly sees the agreement for review without encountering a blank screen."
"INC00385","Network connectivity issue preventing location addition","The Sales Agent faced difficulties in scanning and uploading essential documents for the merchant onboarding process due to a scanner malfunction. This issue significantly impacted the efficiency of document submission and verification.",3,2,"Network","IT Support","Advised Sales Agent to switch to a supported browser. Unfroze the session, verified data integrity, and recommended browser upgrade for future stability."
"INC00011","Fees Calculation Mismatch for Specific Equipment Bundle","During the onboarding process, a Sales Agent faced a hardware issue with a payment terminal not integrating properly with the system, causing delays in setting up payment processing for the merchant.",1,3,"Access","IT Support","User permissions for the Sales Agent were reviewed and updated to ensure proper access to merchant data. The system cache was cleared to reflect the correct merchant ID for the new location."
"INC00371","Intermittent network connectivity affecting agreement review","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",3,3,"Access","IT Support","Network Ops team investigated and found a faulty network switch. Replaced the switch, stabilized the connection, and recovered lost data."
"INC00050","Sales UI not loading for new agent","Sales Agent notices that the merchant data inputted is not displaying correctly in the Sales UI, hindering the completion of the onboarding process.",2,2,"Software","IT Support","Investigated and fixed a backend validation issue, enabling the Merchant to successfully submit the e-signed agreement."
"INC00279","Unable to retrieve merchant data via REST API","Sales Agent encountered a system glitch where high-volume merchant's selected equipment did not get saved, causing delays in processing; Merchant affected.",2,2,"Network","IT Support","Conducted network diagnostics, discovered a bottleneck in the network infrastructure. Implemented QoS settings to prioritize data submission traffic and alleviate timeouts."
"INC00077","Access denied error when trying to submit merchant data","Certain sales agents are facing an access permission error that is blocking them from configuring fees and services for specific merchants. This issue is hindering the customization of service offerings.",2,2,"Network","IT Support","The access permission error was rectified by adjusting the file upload permissions for merchants, allowing them to successfully upload and e-sign the Merchant Agreement PDF. Merchants could then proceed to the processing stage as intended."
"INC00136","Network connectivity issue preventing location addition","Sales Agent is unable to configure specific services for an additional location of a merchant due to a backend validation error, preventing the completion of the onboarding process.",2,1,"Network","IT Support","Identified a permission issue specific to the Sales Agent's account and provided the necessary access rights, allowing seamless equipment selection for merchant onboarding."
"INC00208","Login button unresponsive for Merchant","A Sales Agent reported being unable to access the fee configuration module in the application, hindering their ability to customize services for a new merchant.",2,1,"Network","IT Support","The network timeout issue was addressed by optimizing network settings and increasing timeout thresholds, allowing Sales Agents to successfully complete the equipment selection process without further interruptions."
"INC00228","Error in calculating processing fees for a merchant","A merchant is unable to log in to the Customer UI to review and e-sign the Merchant Agreement due to login credentials not being accepted.",1,3,"Software","IT Support","Identified and rectified the network connectivity issue by troubleshooting the router configuration, ensuring stable and uninterrupted access for the Merchant to review and e-sign the agreement."
"INC00022","Fee Calculation Bug","Upon opening the Merchant Agreement PDF in the Customer UI, the text appears garbled and unreadable for merchants.",2,2,"Software","IT Support","Frontend team identified a caching issue causing the equipment dropdown not to load. Cache was cleared, and Sales Agent can now select equipment for the new location."
"INC00436","Fees/services configuration missing for new location","Intermittent latency spikes were observed, causing delays in API responses during merchant data input by Sales Agents. This variability in response times impacted the overall speed of onboarding operations.",1,3,"Software","IT Support","A bug in the equipment selection module was identified and fixed by the development team. Sales Agent was instructed to reselect the equipment and verify successful saving."
"INC00369","Merchant unable to e-sign Agreement due to session timeout","During the onboarding process for a new merchant location, Sales Agent selected equipment options but encountered a system issue where the selections were not being saved despite multiple attempts.",1,2,"Hardware","Network Ops","Performed a system cache refresh to reload the merchant data and ensured proper data mapping to display information accurately in the Sales UI."
